"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"799","US","B01002_001E vs B19013_001E","state(n=52)","corr=-0.241","county(n=3222)","corr=0.032","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","no"
"800","US","B01002_001E vs B19301_001E","state(n=52)","corr=-0.139","county(n=3222)","corr=0.077","reversed","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"801","US","B01002_001E vs B25064_001E","state(n=52)","corr=-0.151","county(n=3222)","corr=-0.002","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","no"
"802","US","B01002_001E vs B25077_001E","state(n=52)","corr=-0.184","county(n=3222)","corr=0.011","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","no"
"803","US","B01002_001E vs B01001_002E","state(n=52)","corr=-0.397","county(n=3222)","corr=-0.014","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","no"
"804","US","B01002_001E vs B01001_026E","state(n=52)","corr=0.397","county(n=3222)","corr=0.014","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","no"
"805","US","B01002_001E vs B17001_002E","state(n=52)","corr=0.216","county(n=3222)","corr=-0.079","reversed","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"806","US","B01002_001E vs B15003_017E","state(n=52)","corr=0.611","county(n=3222)","corr=0.445","similar","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"807","US","B01002_001E vs B15003_022E","state(n=52)","corr=0.118","county(n=3222)","corr=0.08","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"808","US","B01002_001E vs B15003_002E","state(n=52)","corr=-0.076","county(n=3222)","corr=-0.182","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"809","US","B01002_001E vs B23025_002E","state(n=52)","corr=-0.216","county(n=3222)","corr=-0.226","similar","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"810","US","B01002_001E vs B23025_005E","state(n=52)","corr=0.173","county(n=3222)","corr=-0.126","reversed","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"811","US","B01002_001E vs B23025_004E","state(n=52)","corr=-0.198","county(n=3222)","corr=-0.152","similar","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"812","US","B01002_001E vs B25002_002E","state(n=52)","corr=0.283","county(n=3222)","corr=0.564","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"813","US","B01002_001E vs B25002_003E","state(n=52)","corr=0.511","county(n=3222)","corr=0.452","similar","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"814","US","B01002_001E vs B25003_002E","state(n=52)","corr=0.501","county(n=3222)","corr=0.744","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"815","US","B01002_001E vs B25003_003E","state(n=52)","corr=-0.258","county(n=3222)","corr=-0.357","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"816","US","B01002_001E vs B08301_010E","state(n=52)","corr=-0.142","county(n=3222)","corr=-0.119","similar","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"817","US","B01002_001E vs B08301_021E","state(n=52)","corr=-0.142","county(n=3222)","corr=0.066","reversed","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"818","US","B01002_001E vs B11003_010E","state(n=52)","corr=0.068","county(n=3222)","corr=-0.119","reversed","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"819","US","B01002_001E vs B18101_004E","state(n=52)","corr=-0.375","county(n=3222)","corr=-0.062","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"820","US","B01002_001E vs B27010_017E","state(n=52)","corr=-0.554","county(n=3222)","corr=-0.22","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"821","US","B01002_001E vs B02001_002E","state(n=52)","corr=0.141","county(n=3222)","corr=0.347","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"822","US","B01002_001E vs B02001_003E","state(n=52)","corr=-0.107","county(n=3222)","corr=-0.163","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"823","US","B01002_001E vs B02001_005E","state(n=52)","corr=-0.033","county(n=3222)","corr=-0.218","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"824","US","B01002_001E vs B25024_002E","state(n=52)","corr=0.337","county(n=3222)","corr=0.609","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"825","US","B01002_001E vs B25024_010E","state(n=52)","corr=0.115","county(n=3222)","corr=0.26","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","yes"
"826","US","B19013_001E vs B19301_001E","state(n=52)","corr=0.907","county(n=3222)","corr=-0.022","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","no"
"827","US","B19013_001E vs B25064_001E","state(n=52)","corr=0.863","county(n=3222)","corr=0.316","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"828","US","B19013_001E vs B25077_001E","state(n=52)","corr=0.778","county(n=3222)","corr=-0.001","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","no"
"829","US","B19013_001E vs B01001_002E","state(n=52)","corr=0.223","county(n=3222)","corr=-0.019","magnitude_change","US Census ACS 5-year 2022 (B-series). Most variables converted to per-1000-population rate using B01003_001E as denominator (approximate universe, not narrow subgroup universe); median/per-capita variables (B01002/B19013/B19301/B25064/B25077) kept as published. Exhaustive pairwise scan across 36 variables -- multiple-testing caution applies, same as SSDSE full scan.","no","no"
